UF_Ocorrencia,Grupo_Causa,Quantidade
BAHIA,Neoplasias [tumores] malignas(os),13813
BAHIA,Causas mal definidas e desconhecidas de mortalidade,9482
BAHIA,Doenças cerebrovasculares,7251
BAHIA,Doenças isquêmicas do coração,5827
BAHIA,Agressões,5322
BAHIA,Diabetes mellitus,5252
BAHIA,Doenças hipertensivas,4797
BAHIA,Acidentes,4528
BAHIA,Influenza [gripe] e pneumonia,3759
BAHIA,Outras formas de doença do coração,3641
BAHIA,Doenças crônicas das vias aéreas inferiores,2362
BAHIA,Outras doenças bacterianas,1857
BAHIA,Doenças do fígado,1769
BAHIA,Outras doenças degenerativas do sistema nervoso,1291
BAHIA,Outras doenças do aparelho respiratório,1286
BAHIA,Eventos (fatos) cuja intenção é indeterminada,1200
BAHIA,Insuficiência renal,1100
BAHIA,Sintomas e sinais gerais,1010
BAHIA,Outras doenças do aparelho urinário,996
BAHIA,"Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto",989
BAHIA,Transtornos respiratórios e cardiovasculares específicos do período perinatal,982
BAHIA,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,963
BAHIA,Outros transtornos originados no período perinatal,868
BAHIA,Outras doenças dos intestinos,807
BAHIA,Outras doenças do aparelho digestivo,801
BAHIA,Lesões autoprovocadas intencionalmente,750
BAHIA,"Doenças das artérias, das arteríolas e dos capilares",704
BAHIA,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",603
BAHIA,Intervenções legais e operações de guerra,601
BAHIA,Doenças pulmonares devidas a agentes externos,578
BAHIA,Doença pelo vírus da imunodeficiência humana [HIV],574
BAHIA,Doenças devidas a protozoários,543
BAHIA,Distúrbios metabólicos,495
BAHIA,Doenças cardíaca pulmonar e da circulação pulmonar,485
BAHIA,Outras infecções agudas das vias aéreas inferiores,423
BAHIA,Outras doenças por vírus,397
BAHIA,Sintomas e sinais relativos ao aparelho circulatório e respiratório,384
BAHIA,Desnutrição,378
BAHIA,Tuberculose,375
BAHIA,Infecções da pele e do tecido subcutâneo,370
BAHIA,Doenças infecciosas intestinais,357
BAHIA,Outras afecções da pele e do tecido subcutâneo,335
BAHIA,Transtornos episódicos e paroxísticos,325
BAHIA,"Doenças do esôfago, do estômago e do duodeno",318
BAHIA,Malformações congênitas do aparelho circulatório,294
