Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,BAHIA,"Achados anormais de exames de sangue, sem diagnóstico",1,0.0
Causa_Morte,BAHIA,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",3,0.0
Causa_Morte,BAHIA,Acidentes,4528,4.62
Causa_Morte,BAHIA,Afecções bolhosas,8,0.01
Causa_Morte,BAHIA,Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido,27,0.03
Causa_Morte,BAHIA,Afecções dos anexos da pele,1,0.0
Causa_Morte,BAHIA,Afecções necróticas e supurativas das vias aéreas inferiores,47,0.05
Causa_Morte,BAHIA,Afecções pápulo-descamativas,5,0.01
Causa_Morte,BAHIA,Agressões,5322,5.43
Causa_Morte,BAHIA,Algumas doenças bacterianas zoonóticas,20,0.02
Causa_Morte,BAHIA,Alguns transtornos que comprometem o mecanismo imunitário,23,0.02
Causa_Morte,BAHIA,Anemias aplásticas e outras anemias,233,0.24
Causa_Morte,BAHIA,Anemias hemolíticas,117,0.12
Causa_Morte,BAHIA,Anemias nutricionais,68,0.07
Causa_Morte,BAHIA,Anomalias cromossômicas não classificadas em outra parte,109,0.11
Causa_Morte,BAHIA,Artropatias,58,0.06
Causa_Morte,BAHIA,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,2,0.0
Causa_Morte,BAHIA,Atrofias sistêmicas que afetam principalmente o sistema nervoso central,114,0.12
Causa_Morte,BAHIA,Calculose renal,32,0.03
Causa_Morte,BAHIA,Causas mal definidas e desconhecidas de mortalidade,9482,9.68
Causa_Morte,BAHIA,Complicações de assistência médica e cirúrgica,85,0.09
Causa_Morte,BAHIA,Complicações do trabalho de parto e do parto,18,0.02
Causa_Morte,BAHIA,Complicações relacionadas predominantemente com o puerpério,6,0.01
Causa_Morte,BAHIA,"Defeitos da coagulação, púrpura e outras afecções hemorrágicas",121,0.12
Causa_Morte,BAHIA,Dermatite e eczema,4,0.0
Causa_Morte,BAHIA,Desnutrição,378,0.39
Causa_Morte,BAHIA,Diabetes mellitus,5252,5.36
Causa_Morte,BAHIA,Distúrbios metabólicos,495,0.51
Causa_Morte,BAHIA,Doença pelo vírus da imunodeficiência humana [HIV],574,0.59
Causa_Morte,BAHIA,Doenças cardíaca pulmonar e da circulação pulmonar,485,0.5
Causa_Morte,BAHIA,Doenças cerebrovasculares,7251,7.4
Causa_Morte,BAHIA,Doenças crônicas das vias aéreas inferiores,2362,2.41
Causa_Morte,BAHIA,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",9,0.01
Causa_Morte,BAHIA,Doenças da junção mioneural e dos músculos,34,0.03
Causa_Morte,BAHIA,Doenças da mama,2,0.0
Causa_Morte,BAHIA,"Doenças das artérias, das arteríolas e dos capilares",704,0.72
Causa_Morte,BAHIA,"Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte",285,0.29
Causa_Morte,BAHIA,Doenças desmielinizantes do sistema nervoso central,21,0.02
Causa_Morte,BAHIA,Doenças devidas a protozoários,543,0.55
Causa_Morte,BAHIA,Doenças do apêndice,60,0.06
Causa_Morte,BAHIA,"Doenças do esôfago, do estômago e do duodeno",318,0.32
Causa_Morte,BAHIA,Doenças do fígado,1769,1.81
Causa_Morte,BAHIA,Doenças do ouvido externo,1,0.0
Causa_Morte,BAHIA,Doenças do ouvido interno,1,0.0
