Nome_Coluna,Origem_Tabela,Tipo_Dado,Qtd_Valores_Unicos,Valores_Ausentes_Qtd,Pct_Ausentes,Classificacao
codini,Tabela_CIDagrupado,str,264,0,0.00%,Categorica
codfim,Tabela_CIDagrupado,str,264,0,0.00%,Categorica
nome,Tabela_CIDagrupado,str,275,0,0.00%,Categorica
codigo,Tabela_MunicipioIBGE,int64,5571,0,0.00%,Numerica
nome,Tabela_MunicipioIBGE,str,5298,0,0.00%,Categorica
contador,Tabela_SIM23,int64,469960,0,0.00%,Numerica
ORIGEM,Tabela_SIM23,str,1,0,0.00%,Categorica
TIPOBITO,Tabela_SIM23,str,2,0,0.00%,Categorica
DTOBITO,Tabela_SIM23,str,365,0,0.00%,Categorica
HORAOBITO,Tabela_SIM23,float64,1441,15238,3.24%,Numerica
NATURAL,Tabela_SIM23,float64,141,7657,1.63%,Numerica
CODMUNNATU,Tabela_SIM23,float64,4710,15998,3.40%,Numerica
DTNASC,Tabela_SIM23,str,35262,8312,1.77%,Categorica
IDADE,Tabela_SIM23,float64,243,7663,1.63%,Numerica
SEXO,Tabela_SIM23,str,3,0,0.00%,Categorica
RACACOR,Tabela_SIM23,str,5,13999,2.98%,Categorica
ESTCIV,Tabela_SIM23,str,6,23698,5.04%,Categorica
ESC,Tabela_SIM23,str,6,27351,5.82%,Categorica
ESC2010,Tabela_SIM23,str,7,28811,6.13%,Categorica
SERIESCFAL,Tabela_SIM23,float64,8,313108,66.62%,Numerica
OCUP,Tabela_SIM23,float64,1795,66588,14.17%,Numerica
CODMUNRES,Tabela_SIM23,int64,2474,0,0.00%,Numerica
LOCOCOR,Tabela_SIM23,str,6,0,0.00%,Categorica
CODESTAB,Tabela_SIM23,float64,3491,114365,24.34%,Numerica
CODMUNOCOR,Tabela_SIM23,int64,1357,0,0.00%,Numerica
IDADEMAE,Tabela_SIM23,float64,43,455114,96.84%,Numerica
ESCMAE,Tabela_SIM23,str,6,455365,96.89%,Categorica
ESCMAE2010,Tabela_SIM23,str,7,455429,96.91%,Categorica
SERIESCMAE,Tabela_SIM23,float64,8,463850,98.70%,Numerica
OCUPMAE,Tabela_SIM23,float64,451,457160,97.28%,Numerica
QTDFILVIVO,Tabela_SIM23,float64,19,454938,96.80%,Numerica
QTDFILMORT,Tabela_SIM23,float64,16,455281,96.88%,Numerica
GRAVIDEZ,Tabela_SIM23,str,4,454483,96.71%,Categorica
SEMAGESTAC,Tabela_SIM23,float64,44,454875,96.79%,Numerica
GESTACAO,Tabela_SIM23,str,6,455208,96.86%,Categorica
PARTO,Tabela_SIM23,str,3,454541,96.72%,Categorica
OBITOPARTO,Tabela_SIM23,str,4,454650,96.74%,Categorica
PESO,Tabela_SIM23,float64,2060,455228,96.87%,Numerica
