CODMUNRES_str,TOTAL_REGISTROS,STATUS_VALIDACAO,NOME_MUNICIPIO_IBGE
355030,77002,Correspondência Exata,São Paulo
292740,17412,Correspondência Exata,Salvador
351880,8629,Correspondência Exata,Guarulhos
350950,8312,Correspondência Exata,Campinas
354780,5720,Correspondência Exata,Santo André
355220,5235,Correspondência Exata,Sorocaba
354870,5142,Correspondência Exata,São Bernardo Do Campo
354340,5132,Correspondência Exata,Ribeirão Preto
353440,4798,Correspondência Exata,Osasco
354990,4698,Correspondência Exata,São José Dos Campos
354850,4093,Correspondência Exata,Santos
291080,4084,Correspondência Exata,Feira De Santana
354980,3706,Correspondência Exata,São José Do Rio Preto
352590,3343,Correspondência Exata,Jundiaí
353870,3322,Correspondência Exata,Piracicaba
420910,3161,Correspondência Exata,Joinville
353060,3122,Correspondência Exata,Mogi Das Cruzes
350600,2872,Correspondência Exata,Bauru
420540,2790,Correspondência Exata,Florianópolis
354100,2717,Correspondência Exata,Praia Grande
355100,2593,Correspondência Exata,São Vicente
352940,2540,Correspondência Exata,Mauá
293330,2519,Correspondência Exata,Vitória Da Conquista
351620,2381,Correspondência Exata,Franca
351380,2372,Correspondência Exata,Diadema
355410,2308,Correspondência Exata,Taubaté
352690,2289,Correspondência Exata,Limeira
351870,2165,Correspondência Exata,Guarujá
352310,2072,Correspondência Exata,Itaquaquecetuba
350570,2061,Correspondência Exata,Barueri
350320,2006,Correspondência Exata,Araraquara
351060,1997,Correspondência Exata,Carapicuíba
420240,1995,Correspondência Exata,Blumenau
352900,1963,Correspondência Exata,Marília
354140,1960,Correspondência Exata,Presidente Prudente
350280,1928,Correspondência Exata,Araçatuba
354890,1927,Correspondência Exata,São Carlos
355250,1926,Correspondência Exata,Suzano
290570,1756,Correspondência Exata,Camaçari
354390,1746,Correspondência Exata,Rio Claro
355280,1718,Correspondência Exata,Taboão Da Serra
291480,1717,Correspondência Exata,Itabuna
352440,1711,Correspondência Exata,Jacareí
350160,1702,Correspondência Exata,Americana
355240,1626,Correspondência Exata,Sumaré
352050,1556,Correspondência Exata,Indaiatuba
351500,1527,Correspondência Exata,Embu Das Artes
354880,1509,Correspondência Exata,São Caetano Do Sul
351300,1482,Correspondência Exata,Cotia
291360,1480,Correspondência Exata,Ilhéus
420820,1438,Correspondência Exata,Itajaí
421660,1414,Correspondência Exata,São José
354580,1358,Correspondência Exata,Santa Bárbara D'oeste
352250,1349,Correspondência Exata,Itapevi
291840,1340,Correspondência Exata,Juazeiro
420930,1337,Correspondência Exata,Lages
350760,1314,Correspondência Exata,Bragança Paulista
291800,1312,Correspondência Exata,Jequié
353070,1287,Correspondência Exata,Mogi Guaçu
291920,1283,Correspondência Exata,Lauro De Freitas
420460,1281,Correspondência Exata,Criciúma
351907,1274,Correspondência Exata,Hortolândia
350410,1242,Correspondência Exata,Atibaia
352230,1204,Correspondência Exata,Itapetininga
352390,1203,Correspondência Exata,Itu
350550,1185,Correspondência Exata,Barretos
353800,1173,Correspondência Exata,Pindamonhangaba
350750,1126,Correspondência Exata,Botucatu
352530,1114,Correspondência Exata,Jaú
420420,1109,Correspondência Exata,Chapecó
351570,1094,Correspondência Exata,Ferraz De Vasconcelos
421190,1077,Correspondência Exata,Palhoça
293135,1057,Correspondência Exata,Teixeira De Freitas
351110,1047,Correspondência Exata,Catanduva
352220,1036,Correspondência Exata,Itapecerica Da Serra
350330,1032,Correspondência Exata,Araras
351050,1027,Correspondência Exata,Caraguatatuba
352210,1022,Correspondência Exata,Itanhaém
351630,1017,Correspondência Exata,Francisco Morato
290070,1017,Correspondência Exata,Alagoinhas
353470,975,Correspondência Exata,Ourinhos
292530,958,Correspondência Exata,Porto Seguro
351840,954,Correspondência Exata,Guaratinguetá
355400,950,Correspondência Exata,Tatuí
420890,938,Correspondência Exata,Jaraguá Do Sul
354520,910,Correspondência Exata,Salto
350650,908,Correspondência Exata,Birigui
355700,907,Correspondência Exata,Votorantim
351640,899,Correspondência Exata,Franco Da Rocha
350400,890,Correspondência Exata,Assis
355170,870,Correspondência Exata,Sertãozinho
354330,854,Correspondência Exata,Ribeirão Pires
421870,823,Correspondência Exata,Tubarão
355710,820,Correspondência Exata,Votuporanga
352340,818,Correspondência Exata,Itatiba
353080,812,Correspondência Exata,Mogi Mirim
354910,811,Correspondência Exata,São João Da Boa Vista
355620,808,Correspondência Exata,Valinhos
290320,796,Correspondência Exata,Barreiras
420200,786,Correspondência Exata,Balneário Camboriú
353980,777,Correspondência Exata,Poá
350450,773,Correspondência Exata,Avaré
291072,772,Correspondência Exata,Eunápolis
352670,768,Correspondência Exata,Leme
292400,765,Correspondência Exata,Paulo Afonso
355500,760,Correspondência Exata,Tupã
351350,752,Correspondência Exata,Cubatão
352240,739,Correspondência Exata,Itapeva
352710,736,Correspondência Exata,Lins
293070,728,Correspondência Exata,Simões Filho
352720,721,Correspondência Exata,Lorena
351340,719,Correspondência Exata,Cruzeiro
354730,702,Correspondência Exata,Santana De Parnaíba
352430,701,Correspondência Exata,Jaboticabal
350850,693,Correspondência Exata,Caçapava
420290,693,Correspondência Exata,Brusque
350610,690,Correspondência Exata,Bebedouro
292870,688,Correspondência Exata,Santo Antônio De Jesus
352260,687,Correspondência Exata,Itapira
353760,676,Correspondência Exata,Peruíbe
355060,666,Correspondência Exata,São Roque
353050,657,Correspondência Exata,Mococa
351550,650,Correspondência Exata,Fernandópolis
352930,643,Correspondência Exata,Matão
351970,643,Correspondência Exata,Ibiúna
355650,630,Correspondência Exata,Várzea Paulista
353930,623,Correspondência Exata,Pirassununga
291170,623,Correspondência Exata,Guanambi
353650,622,Correspondência Exata,Paulínia
293010,615,Correspondência Exata,Senhor Do Bonfim
352850,612,Correspondência Exata,Mairiporã
350900,607,Correspondência Exata,Caieiras
350190,605,Correspondência Exata,Amparo
353110,593,Correspondência Exata,Mongaguá
353730,585,Correspondência Exata,Penápolis
355540,580,Correspondência Exata,Ubatuba
291750,575,Correspondência Exata,Jacobina
350960,573,Correspondência Exata,Campo Limpo Paulista
420320,573,Correspondência Exata,Camboriú
355370,563,Correspondência Exata,Taquaritinga
421130,553,Correspondência Exata,Navegantes
293050,553,Correspondência Exata,Serrinha
293290,548,Correspondência Exata,Valença
351510,542,Correspondência Exata,Embu-Guaçu
290650,535,Correspondência Exata,Candeias
355670,533,Correspondência Exata,Vinhedo
351960,526,Correspondência Exata,Ibitinga
355070,524,Correspondência Exata,São Sebastião
352500,519,Correspondência Exata,Jandira
291470,519,Correspondência Exata,Itaberaba
291640,519,Correspondência Exata,Itapetinga
350590,519,Correspondência Exata,Batatais
290460,513,Correspondência Exata,Brumado
420430,506,Correspondência Exata,Concórdia
420140,506,Correspondência Exata,Araranguá
350390,505,Correspondência Exata,Arujá
352680,504,Correspondência Exata,Lençóis Paulista
421580,501,Correspondência Exata,São Bento Do Sul
350210,497,Correspondência Exata,Andradina
420300,496,Correspondência Exata,Caçador
353780,485,Correspondência Exata,Piedade
352480,484,Correspondência Exata,Jales
350920,483,Correspondência Exata,Cajamar
354970,477,Correspondência Exata,São José Do Rio Pardo
351440,473,Correspondência Exata,Dracena
292860,472,Correspondência Exata,Santo Amaro
353180,470,Correspondência Exata,Monte Mor
291460,470,Correspondência Exata,Irecê
354070,458,Correspondência Exata,Porto Ferreira
421480,456,Correspondência Exata,Rio Do Sul
421010,456,Correspondência Exata,Mafra
290840,454,Correspondência Exata,Conceição Do Coité
292510,449,Correspondência Exata,Poções
291005,449,Correspondência Exata,Dias D'ávila
291560,447,Correspondência Exata,Itamaraju
353030,444,Correspondência Exata,Mirassol
290600,444,Correspondência Exata,Campo Formoso
353130,443,Correspondência Exata,Monte Alto
354060,442,Correspondência Exata,Porto Feliz
353390,440,Correspondência Exata,Olímpia
353340,440,Correspondência Exata,Nova Odessa
291400,439,Correspondência Exata,Ipirá
291070,438,Correspondência Exata,Euclides Da Cunha
290980,435,Correspondência Exata,Cruz Das Almas
353550,431,Correspondência Exata,Paraguaçu Paulista
420230,429,Correspondência Exata,Biguaçu
290390,427,Correspondência Exata,Bom Jesus Da Lapa
354640,425,Correspondência Exata,Santa Cruz Do Rio Pardo
350970,422,Correspondência Exata,Campos Do Jordão
354260,421,Correspondência Exata,Registro
292660,420,Correspondência Exata,Ribeira Do Pombal
351280,418,Correspondência Exata,Cosmópolis
352840,412,Correspondência Exata,Mairinque
352270,409,Correspondência Exata,Itápolis
350635,409,Correspondência Exata,Bertioga
354680,406,Correspondência Exata,Santa Isabel
420380,403,Correspondência Exata,Canoinhas
421620,400,Correspondência Exata,São Francisco Do Sul
420940,396,Correspondência Exata,Laguna
290720,394,Correspondência Exata,Casa Nova
350700,392,Correspondência Exata,Boituva
420750,388,Correspondência Exata,Indaial
351670,388,Correspondência Exata,Garça
420590,386,Correspondência Exata,Gaspar
352470,385,Correspondência Exata,Jaguariúna
291955,380,Correspondência Exata,Luís Eduardo Magalhães
355210,379,Correspondência Exata,Socorro
352320,378,Correspondência Exata,Itararé
290520,377,Correspondência Exata,Caetité
354940,377,Correspondência Exata,São Joaquim Da Barra
350000,377,Não Encontrado / Inconsistente,Não Encontrado
291760,370,Correspondência Exata,Jaguaquara
351518,369,Correspondência Exata,Espírito Santo Do Pinhal
291390,367,Correspondência Exata,Ipiaú
354130,367,Correspondência Exata,Presidente Epitácio
420830,366,Correspondência Exata,Itapema
350010,364,Correspondência Exata,Adamantina
351040,364,Correspondência Exata,Capivari
420730,363,Correspondência Exata,Imbituba
355640,361,Correspondência Exata,Vargem Grande Do Sul
354530,360,Correspondência Exata,Salto De Pirapora
292150,356,Correspondência Exata,Monte Santo
351020,354,Correspondência Exata,Capão Bonito
355040,351,Correspondência Exata,São Pedro
292880,351,Correspondência Exata,Santo Estêvão
354150,351,Correspondência Exata,Presidente Venceslau
353710,350,Correspondência Exata,Pedreira
353430,346,Correspondência Exata,Orlândia
352410,345,Correspondência Exata,Ituverava
350530,340,Correspondência Exata,Barra Bonita
292100,339,Correspondência Exata,Mata De São João
421930,338,Correspondência Exata,Videira
420700,337,Correspondência Exata,Içara
293320,337,Correspondência Exata,Vera Cruz
420480,336,Correspondência Exata,Curitibanos
351150,336,Correspondência Exata,Cerquilho
353670,331,Correspondência Exata,Pederneiras
353350,329,Correspondência Exata,Novo Horizonte
290750,326,Correspondência Exata,Catu
353460,324,Correspondência Exata,Osvaldo Cruz
261110,324,Correspondência Exata,Petrolina
355480,322,Correspondência Exata,Tremembé
354660,318,Correspondência Exata,Santa Fé Do Sul
293190,316,Correspondência Exata,Tucano
351740,316,Correspondência Exata,Guaíra
352510,313,Correspondência Exata,Jardinópolis
351820,312,Correspondência Exata,Guararapes
352400,312,Correspondência Exata,Itupeva
354160,312,Correspondência Exata,Promissão
292990,311,Correspondência Exata,Seabra
355645,310,Correspondência Exata,Vargem Grande Paulista
355450,309,Correspondência Exata,Tietê
350520,309,Correspondência Exata,Bariri
351000,306,Correspondência Exata,Cândido Mota
291980,305,Correspondência Exata,Macaúbas
350840,303,Correspondência Exata,Cabreúva
290270,303,Correspondência Exata,Barra
350250,300,Correspondência Exata,Aparecida
350070,297,Correspondência Exata,Agudos
350380,295,Correspondência Exata,Artur Nogueira
355010,295,Correspondência Exata,São Manuel
351310,294,Correspondência Exata,Cravinhos
290210,294,Correspondência Exata,Araci
293360,291,Correspondência Exata,Xique-Xique
421950,291,Correspondência Exata,Xanxerê
350290,290,Correspondência Exata,Araçoiaba Da Serra
352570,288,Correspondência Exata,José Bonifácio
291950,287,Correspondência Exata,Livramento De Nossa Senhora
292800,285,Correspondência Exata,Santaluz
353890,284,Correspondência Exata,Pirajuí
350030,283,Correspondência Exata,Aguaí
421500,281,Correspondência Exata,Rio Negrinho
290680,281,Correspondência Exata,Cansanção
421800,280,Correspondência Exata,Tijucas
292600,280,Correspondência Exata,Remanso
353880,279,Correspondência Exata,Piraju
355160,277,Correspondência Exata,Serra Negra
353950,276,Correspondência Exata,Pitangueiras
351370,275,Correspondência Exata,Descalvado
290100,275,Correspondência Exata,Amargosa
354410,274,Correspondência Exata,Rio Grande Da Serra
420210,273,Correspondência Exata,Barra Velha
292300,273,Correspondência Exata,Nova Viçosa
421820,272,Correspondência Exata,Timbó
352730,271,Correspondência Exata,Louveira
351860,271,Correspondência Exata,Guariba
354220,271,Correspondência Exata,Rancharia
351080,270,Correspondência Exata,Casa Branca
292950,268,Correspondência Exata,São Sebastião Do Passé
354750,266,Correspondência Exata,Santa Rita Do Passa Quatro
292060,266,Correspondência Exata,Maragogipe
352030,265,Correspondência Exata,Iguape
292810,264,Correspondência Exata,Santa Maria Da Vitória
421250,258,Correspondência Exata,Penha
290290,256,Correspondência Exata,Barra Do Choça
353860,256,Correspondência Exata,Piracaia
353010,255,Correspondência Exata,Mirandópolis
291050,254,Correspondência Exata,Entre Rios
350130,253,Correspondência Exata,Álvares Machado
292170,252,Correspondência Exata,Morro Do Chapéu
355150,252,Correspondência Exata,Serrana
290630,251,Correspondência Exata,Canavieiras
350860,250,Correspondência Exata,Cachoeira Paulista
421720,250,Correspondência Exata,São Miguel Do Oeste
290780,249,Correspondência Exata,Cícero Dantas
291700,248,Correspondência Exata,Itiúba
292630,247,Correspondência Exata,Riachão Do Jacuípe
421360,246,Correspondência Exata,Porto União
291770,245,Correspondência Exata,Jaguarari
420360,245,Correspondência Exata,Campos Novos
292640,244,Correspondência Exata,Riacho De Santana
353740,244,Correspondência Exata,Pereira Barreto
354020,241,Correspondência Exata,Pontal
292720,239,Correspondência Exata,Ruy Barbosa
355020,239,Correspondência Exata,São Miguel Arcanjo
290670,238,Correspondência Exata,Cândido Sales
291810,238,Correspondência Exata,Jeremoabo
352520,237,Correspondência Exata,Jarinu
351220,237,Correspondência Exata,Conchal
292700,236,Correspondência Exata,Rio Real
352640,236,Correspondência Exata,Laranjal Paulista
292550,234,Correspondência Exata,Prado
290000,231,Não Encontrado / Inconsistente,Não Encontrado
352920,228,Correspondência Exata,Martinópolis
352010,227,Correspondência Exata,Igarapava
291370,227,Correspondência Exata,Inhambupe
291120,226,Correspondência Exata,Gandu
290687,226,Correspondência Exata,Capim Grosso
355340,225,Correspondência Exata,Tanabi
352620,224,Correspondência Exata,Juquitiba
351830,223,Correspondência Exata,Guararema
421320,223,Correspondência Exata,Pomerode
352740,222,Correspondência Exata,Lucélia
292920,222,Correspondência Exata,São Francisco Do Conde
353920,222,Correspondência Exata,Pirapozinho
352600,220,Correspondência Exata,Junqueirópolis
351930,219,Correspondência Exata,Ibaté
291450,217,Correspondência Exata,Irará
420550,216,Correspondência Exata,Fraiburgo
421570,216,Correspondência Exata,Santo Amaro Da Imperatriz
420650,215,Correspondência Exata,Guaramirim
292930,214,Correspondência Exata,São Gonçalo Dos Campos
290490,213,Correspondência Exata,Cachoeira
420130,212,Correspondência Exata,Araquari
352044,212,Correspondência Exata,Ilha Solteira
291465,211,Correspondência Exata,Itabela
352180,210,Correspondência Exata,Itaí
350560,210,Correspondência Exata,Barrinha
354760,210,Correspondência Exata,Santa Rosa De Viterbo
350170,209,Correspondência Exata,Américo Brasiliense
290800,209,Correspondência Exata,Coaraci
290730,208,Correspondência Exata,Castro Alves
290580,208,Correspondência Exata,Camamu
353790,207,Correspondência Exata,Pilar Do Sul
290850,207,Correspondência Exata,Conceição Do Jacuípe
355380,206,Correspondência Exata,Taquarituba
293015,206,Correspondência Exata,Serra Do Ramalho
292110,205,Correspondência Exata,Medeiros Neto
421970,205,Correspondência Exata,Xaxim
292520,205,Correspondência Exata,Pojuca
350940,204,Correspondência Exata,Cajuru
292230,204,Correspondência Exata,Muritiba
350660,203,Correspondência Exata,Biritiba Mirim
354770,203,Correspondência Exata,Santo Anastácio
420280,202,Correspondência Exata,Braço Do Norte
292500,202,Correspondência Exata,Planalto
352040,202,Correspondência Exata,Ilhabela
291350,201,Correspondência Exata,Iguaí
352000,200,Correspondência Exata,Igaraçu Do Tietê
290710,200,Correspondência Exata,Carinhanha
290990,200,Correspondência Exata,Curaçá
292250,199,Correspondência Exata,Nazaré
354000,199,Correspondência Exata,Pompéia
291190,199,Correspondência Exata,Iaçu
354630,198,Correspondência Exata,Santa Cruz Das Palmeiras
292290,197,Correspondência Exata,Nova Soure
291060,197,Correspondência Exata,Esplanada
352100,197,Correspondência Exata,Iperó
291210,197,Correspondência Exata,Ibicaraí
350220,196,Correspondência Exata,Angatuba
291290,196,Correspondência Exata,Ibirataia
353140,194,Correspondência Exata,Monte Aprazível
292050,192,Correspondência Exata,Maracás
291915,192,Correspondência Exata,Lapão
350790,191,Correspondência Exata,Brotas
420880,191,Correspondência Exata,Jaguaruna
292310,190,Correspondência Exata,Olindina
292440,190,Correspondência Exata,Pilão Arcado
355330,189,Correspondência Exata,Tambaú
292200,189,Correspondência Exata,Mucuri
421770,189,Correspondência Exata,Sombrio
291550,187,Correspondência Exata,Itajuípe
350870,187,Correspondência Exata,Caconde
292820,186,Correspondência Exata,Santana
354400,186,Correspondência Exata,Rio Das Pedras
350270,186,Correspondência Exata,Apiaí
353190,185,Correspondência Exata,Morro Agudo
421650,185,Correspondência Exata,São Joaquim
420900,185,Correspondência Exata,Joaçaba
351140,184,Correspondência Exata,Cerqueira César
292370,183,Correspondência Exata,Paratinga
292240,183,Correspondência Exata,Mutuípe
350050,183,Correspondência Exata,Águas De Lindóia
292580,183,Correspondência Exata,Queimadas
421280,182,Correspondência Exata,Balneário Piçarras
290470,181,Correspondência Exata,Buerarema
351360,181,Correspondência Exata,Cunha
290560,180,Correspondência Exata,Camacan
290410,179,Correspondência Exata,Boquira
350925,178,Correspondência Exata,Cajati
293077,177,Correspondência Exata,Sobradinho
292430,177,Correspondência Exata,Piatã
292840,177,Correspondência Exata,Santa Rita De Cássia
355630,175,Correspondência Exata,Valparaíso
353530,175,Correspondência Exata,Palmital
290620,175,Correspondência Exata,Canarana
292770,173,Correspondência Exata,Santa Cruz Cabrália
420845,173,Correspondência Exata,Itapoá
293200,171,Correspondência Exata,Uauá
293300,171,Correspondência Exata,Valente
